ต้ง	ຕົ້ງ
ทินฮู่ง	ທິນຮູ່ງ
เหฒย	ເຕສີ໋ຍ
ลู่ง	ລູ່ງ
เดา	ເດົາ
เหธา	ເຖສົາ
หม่าน	ໝ່ານ
ฮนั้ง	ຮນັ້ງ
น้าย	ນ້າຍ
นอ	ນໍ
เหฒียง	ຕສຢັ໋ງ
เหฑ่ง	ເດສ່ງ
อ๊ะ	ອ໊ະ
เถา	ເຖົາ
ฮนอย	ຮນອຍ
โหฒว	ໂຕສ໋ວ
นิ่น	ນິ່ນ
เญย	ເຍີຍ
กง	ກົງ
ฯฒฯ	ຕສ່ຽວ
ธ้วด	ທສວດ
อียิบ	ອີຢິ໊ບ
ฮิบลู	ຮິບລູ
เหธย	ເຖສີຍ
ปุน	ປຸນ
วั้ว	ວົ້ວ
นอม	ນອມ
เป๋น	ເປ໋ນ
เหว่ย	ເຫວີ່ຍ
หฒุ	ຕສຸ
หย่า	ຢ່າ
เจ๊าโหล่ว	ເຈົ໊າໂຫລ່ວ
เซ	ເຊ
เฒี้ยว	ຕສ໊ຽວ
หฒั่น	ຕສັ່ນ
ไม้	ໄມ້
แก้ง	ແກ້ງ
ม่าย	ມ່າຍ
หาย	ຫາຍ
หญู่ง	ຫຍູ່ງ
เดี๋ยง	ດຢັ໋ງ
ขูง	ຂູງ
ววม	ວວມ
เยียม	ຢຽມ
ต้าย	ຕ້າຍ
ก๋อม	ກ໋ອມ
แอ๋ง	ແອ໋ງ
เฒาะ	ເຕສ໊າະ
เต๋ย	ເຕີ໋ຍ
เต้า	ເຕົ້າ
เมี่ยน	ມ່ຽນ
เฉีย	ເຖຈຍ
เปียะ	ເປັຍ
ปูง	ປູງ
กะญั์ว	ກະຍົ໌ວ
เดี๊ย	ເດ໊ຍ
เจี์ย	ເຈ໌ຍ
เจี๊ยน	ຈ໊ຽນ
ฝาว	ຝາວ
ตุ๊	ຕຸ໊
เซียะ	ເຊັຍ
ก๊อง	ກ໊ອງ
บั๋ว	ບົ໋ວ
โนยา	ໂນຢາ
เม่ย	ເມີ່ຍ
เหยียด	ຢຽດ
เปย๊า	ເປຢົ໊າ
อ๋อย	ອ໋ອຍ
ฑั้ง	ດສັ໊ງ
จ๋า	ຈ໋າ
เยีย	ເຢຍ
ปวัด	ປວັດ
กั้น	ກັ້ນ
หอบ	ຫອບ
เฮญี้ยว	ໂຮຍ້ວ
ตะฟ่าน	ຕະຟ່ານ
ต้อ	ຕໍ້
เสี่ย	ເສ່ຍ
ต๋อย	ຕ໋ອຍ
โต่ว	ໂຕ່ວ
ฒู้ง	ຕສູ໊ງ
เฮยี่ย	ເຮ່ຍ
ฒ่อย	ຕສ້ອຍ
ปวัง	ປວັງ
หว่า	ຫວ່າ
ตอน	ຕອນ
บัว	ບົວ
ปวั๊ง	ປວັ໊ງ
เต่ย	ເຕີ່ຍ
โต้ว	ໂຕ້ວ
เดาเป้ย	ເດົາເປີ້ຍ
กะน้าย	ກະນ້າຍ
ค้อย	ຄ້ອຍ
จิว	ຈິວ
กุ๊น	ກຸ໊ນ
ไฮ่	ໄຮ່
หญั่น	ຫຍັ່ນ
ฮบ	ຮົບ
หญู่งๆ	ຫຍູ່ງໆ
ฒิ่น	ຕສິ້ນ
ด่าง	ດ່າງ
มี่ง	ມີ່ງ
เฒ้ยฟุน	ເຕສີ໊ຍຟຸນ
ลิ์ว	ລິ໌ວ
ฆะฮ้า	ອກະຮ້າ
ปัว	ປົວ
ฟี่	ຟີ່
ฝีง	ຝີງ
เม่ง	ເມ່ງ
โห่	ໂຫ່
ฝีงๆ	ຝີງໆ
หฒิว	ຕສິ໋ວ
เจ๊า	ເຈົ໊າ
เธี้ยด	ທສຽດ
เหฒียบ	ຕສຽບ
ฮม์	ຮມ໌
หฮญัง	ຫຮຍັງ
เอ๊า	ເອົ໊າ
เต้าๆ	ເຕົ້າໆ
คานาอัน	ຄານາອັນ
เต่ยปูง	ເຕີ່ຍປູງ
หมี่	ໝີ່
กัน	ກັນ
เจี๋ย	ເຈ໋ຍ
ฒี่ง	ຕສີ້ງ
ติ้ว	ຕິ້ວ
ต้ม	ຕົ້ມ
กงโฒ่	ກົງໂຕສ້
เหฒี่ย	ເຕສ່ຍ
ฮู่ง	ຮູ່ງ
เอลาม	ເອລາມ
หฮญังเจ๊ย	ຫຮຍັງເຈີ໊ຍ
หมวัง	ໝວັງ
ลั่ม	ລ່ຳ
ต๋อง	ຕ໋ອງ
อับลาฮัม	ອັບລາຮຳ
ด๊บลิ่ว	ດົ໊ບລິ່ວ
เก้า	ເກົ້າ
เฒี่ยง	ຕສຢັ້ງ
หฒั่ง	ຕສັ່ງ
แป๊ะ	ແປ໊ະ
หญี่	ຫຍີ່
ฮลัง	ຮລັງ
โก๋	ໂກ໋
ไห่	ໄຫ່
หล่ง	ຫລົ່ງ
เห่ว	ເຫ່ວ
เหฌี่ย	ເອຈ່ຍ
จาตี้ง	ຈາຕີ້ງ
หฑิบ	ດສິບ
เฒ้ย	ເຕສີ໊ຍ
ปวั้ง	ປວັ້ງ
ยาโค้บ	ຢາໂຄບ
กวั้น	ກວັ້ນ
เปว๋ย	ເປວີ໋ຍ
ฟินเมี่ยน	ຟິນມ່ຽນ
แปง	ແປງ
ไฟ	ໄຟ
พ้าย	ພ້າຍ
เฝียน	ຝຽນ
ล์อ	ລໍ໌
หฌาว	ອຈ໋າວ
เกา	ເກົາ
เฝย	ເຝີຍ
ฆอย	ອກອຍ
ฝุเจว๊ย	ຝຸຈ໊ວຍ
เลอา	ເລອາ
อี	ອີ
โน่ว	ໂນ່ວ
พัวะ	ພົວະ
ฟัด	ຟັດ
มป่า	ມປ່າ
ฒิบ	ຕສິ໊ບ
ยิวไท	ຢິວໄທ
ดีนา	ດີນາ
มเซียะ	ມເຊັຍ
ไฮ์	ໄຮ໌
ฮนั้ม	ຮນ້ຳ
หลง	ຫລົງ
กวั่ง	ກວັ່ງ
ลุยโหว	ລຸຍໂຫວ
เตีย	ເຕຍ
โยเซ้บ	ໂຢເຊບ
ยูดา	ຢູດາ
เล่ย	ເລີ່ຍ
ตะเหญ่ย	ຕະເຫຍີ່ຍ
ตอนโฮล	ຕອນໂຮລ
หมั่ง	ໝັ່ງ
หว่าย	ຫວ່າຍ
ไต่	ໄຕ່
เจียน	ຈຽນ
ต่อง	ຕ່ອງ
เตี๋ย	ເຕ໋ຍ
โก๋ว	ໂກ໋ວ
ติ่น	ຕິ່ນ
แปงเปย๊ย	ແປງເປຢີ໊ຍ
เล่า	ເລົ່າ
เบ๋ย	ເບີ໋ຍ
โซ้ว	ໂຊ້ວ
ด้าย	ດ້າຍ
เฮลน	ເຮລນ
ยั่ง	ຢັ້ງ
ง่ง	ງົ່ງ
หลัวะ	ຫລົວະ
โค้ว	ໂຄ້ວ
ญ่าน	ຍ່ານ
บัวะ	ບົວະ
เอย	ເອີຍ
ฝูง	ຝູງ
หฑวน	ດສ໋ວນ
โก	ໂກ
หน่าย	ໜ່າຍ
ติ่ว	ຕິ່ວ
ววมเหมว่ย	ວວມເໝວີ່ຍ
ฮิ้ว	ຮິ້ວ
กั๊บ	ກັ໊ບ
ฒุ้น	ຕສຸ໊ນ
สี่	ສີ່
อ่า	ອ່າ
อิสะลาเอน	ອິສະລາເອນ
ชะ	ທຈະ
เลวี	ເລວີ
หฒะเอ๋ย	ຕສະເອີ໋ຍ
ล่าง	ລ່າງ
ไต๋	ໄຕ໋
ตั๋ง	ຕັ໋ງ
วินวั้ง	ວິນວັ້ງ
เญีย	ເຍຍ
เปี๊ยว	ປ໊ຽວ
ธั้ม	ທສ້ຳ
ต๋าว	ຕ໋າວ
เฮ้น	ເຮ້ນ
ล่าน	ລ່ານ
บุด๋ง	ບຸດົ໋ງ
แป้ง	ແປ້ງ
ฟิม	ຟິມ
เซี้ยม	ຊ້ຽມ
แปะ	ແປະ
ปี๋ง	ປີ໋ງ
หฮลา	ຫຮລາ
เหญียะ	ເຫຍັຍ
อัน	ອັນ
โมเซ	ໂມເຊ
หฑะเฮมียน	ດສະຮມຽນ
อาโลน	ອາລົນ
แหง่ง	ແຫງ່ງ
ฮ่อง	ຮ່ອງ
ท่าย	ທ່າຍ
เบ๊าะ	ເບ໊າະ
โอ	ໂອ
หฒวัง	ຕສວັ໋ງ
เต่ยปูงฮวาง	ເຕີ່ຍປູງຮວາງ
เหลียบ	ຫລຽບ
ไซ	ໄຊ
สี	ເຊ
กิ๊น	ກິ໊ນ
ตู๋ง	ຕູ໋ງ
เล์ย	ເລີ໌ຍ
เป๊ย	ເປີ໊ຍ
เจียม	ຈຽມ
ล่าม่า	ຫລະມ່າ
เปยย	ເປຢີຍ
หลิ่ว	ຫລິ່ວ
แล์ง	ແລ໌ງ
ฟาง	ຟາງ
กะเหญี่ย	ກະເຫຍ່ຍ
ปยา	ປຢາ
เดาะ	ເດາະ
แน้ด	ແນດ
แหมง	ແໝງ
หลาด	ຫລາດ
น่าม	ນ່າມ
เว่ย	ເວີ່ຍ
ธอง	ທສອງ
ว้วน	ວ້ວນ
ธิ	ທສິ
เปี้ยง	ປຢັ້ງ
เฟี้ย	ເຟ້ຍ
ฒุ	ຕສຸ໊
สีง	ສີງ
มฆ้อง	ມອກ໊ອງ
ฒุ์ย	ຕສຸ໌ຍ
ฮวีง	ຮວີງ
เก๊าะเมี่ยน	ເກ໊າະມ່ຽນ
มจั่ง	ມຈັ່ງ
ตี่ง	ຕີ່ງ
ฒุ่น	ຕສຸ້ນ
เหญ่ย	ເຫຍີ່ຍ
ฒั้ว	ຕສົ໊ວ
มา	ມາ
โย์ว	ໂຢ໌ວ
กั๊วะ	ກົ໊ວະ
เปย๊ย	ເປຢີ໊ຍ
หลี่ง	ຫລີ່ງ
เอเลอาซา	ເອເລອາຊາ
หูง	ຫູງ
โมอับ	ໂມອັບ
จอแดน	ຈໍແດນ
อะเฮน้ย	ອະເຮນີ້ຍ
ฮวิน	ຮວິນ
ลี่ง	ລີ່ງ
มฒีง	ມຕສີງ
ทง	ທົງ
ป่วน	ປ່ວນ
